input,output
0,-9
1,-5
2,-12
3,7
4,-12
5,-10
6,3
7,-14
8,9
9,-15
10,0
11,29
12,44
13,32
14,35
15,83
16,63
17,75
18,64
19,32
20,106
21,59
22,105
23,49
24,95
25,56
26,57
27,108
28,77
29,103
30,124
31,97
32,133
33,126
34,131
35,90
36,76
37,135
38,158
39,115
40,125
41,105
42,152
43,167
44,115
45,128
46,132
47,153
48,129
49,142
50,145
51,125
52,181
53,171
54,194
55,146
56,147
57,194
58,157
59,148
60,223
61,202
62,202
63,165
64,146
65,186
66,209
67,203
68,232
69,233
70,207
71,173
72,212
73,248
74,256
75,242
76,213
77,197
78,253
79,213
80,250
81,238
82,277
83,250
84,285
85,265
86,265
87,225
88,278
89,229
90,243
91,243
92,270
93,300
94,314
95,278
96,290
97,299
98,263
99,272
